"","scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","date_collected","identified_by","date_identified","identification_remarks","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type"
"822","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","California, Los Angeles Co.; Santa Catalina Island, in canyon bottom, upper end of Gallagher's Canyon, roughly 2 mi. northwest of Avalon,",33.356341,-118.35773,1992-03-30,"GBIF","DAV","DAV","DAV",NA,4338,"2421672562","John M. Tucker","s.n.",1992-03-30,"Det. J.M.T.",NA,NA,NA,0,NA,1,"specimen"
"823","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","San Mateo Cyn (West), 1.1km west of Wildomar Rd., and 500m southwest of Tenaja Trail",33.55306,-117.40472,2008-05-07,"GBIF","UCR","UCR","UCR",NA,4853,"2422463951","Jeff B. Galvin","41",2008-05-07,NA,NA,NA,NA,0,NA,1,"specimen"
"824","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Florida","Volusia","Tomoka State Park, Ca. 200 m WNW of the park administration building, ca. 1.5 km SSE of the Old Dixie Highway bridge at the Tomoka River. Ca. 200 m WNW of the park administration building, ca. 1.5 km SSE of the Old Dixie Highway bridge at the Tomoka River.",29.3278,-81.0797,2004-07-16,"GBIF","USF","USF","USF","Herb",4889,"1503247025","J. M. Kunzer","572",2004-07-16,NA,NA,NA,NA,0,NA,1,"specimen"
"825","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Rancho California area, avocado grove south of Avenida del Oro, just past Calle Capistrano",33.5,-117.225,1988-06-08,"GBIF","SD","SD","SD",NA,4760,"2424939099","B. Pitzer","1046",1988-06-08,"A.C. Sanders Jan 1990",NA,NA,NA,0,NA,1,"specimen"
"826","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","east side of San Clemente Island, Lemon Tank, a dump site",32.93028,-118.50361,1967-04-23,"GBIF","UCR","UCR","UCR",NA,4853,"2422328060","F.C. Boutin","1659",1967-04-23,NA,NA,NA,NA,0,NA,1,"specimen"
"827","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Pinyon Flats area, Santa Rosa Mountains, along Horsethief Creek where the trail from the Dolomite Mine crosses",33.583333,-116.416667,1988-10-01,"GBIF","CAS","CAS","CAS","BOT-BC",4278,"1426137816","Sanders, A. C.; Lawlor, E. J.","8718",1988-10-01,NA,NA,NA,NA,0,NA,1,"specimen"
"828","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","Above Chinese Harbor, Santa Cruz Island",34.0127999991247,-119.6004,1978-04-30,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270290824","Kevin C. Nixon","1577",1978-04-30,NA,NA,NA,NA,0,NA,1,"specimen"
"829","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","San Clemente Island; canyon below Delphinium exclosure near Stone",32.9164,-118.4882,2003-05-28,"GBIF","SD","SD","SD",NA,4760,"2424851357","David Pivorunats; J Dunn","DP-12-03",2003-05-28,NA,NA,NA,NA,0,NA,1,"specimen"
"830","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","Santa Cruz Island. Above Canada Cervada, ca. 0.5 mile W of Cuesta Ridge, W end of island.",34.01611,-119.81306,1976-04-13,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430077415","Robert F. Thorne, Tilforth","47505",1976-04-13,NA,NA,NA,NA,0,NA,1,"specimen"
"831","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","San Jacinto Wildlife Area, Potrero unit south side. 1.7 mi east of Lamb Canyon road. In steep ravine near air strip",33.85889,-116.97972,2006-10-10,"GBIF","UCR","UCR","UCR",NA,4853,"2422444204","Theresa Johnson","289",2006-10-10,NA,NA,NA,NA,0,NA,1,"specimen"
"832","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","San Timoteo Canyon, 0.25 miles SSE of El Casco Substation, 0.5 miles WNW of Oak Valley Parkway (San Timoteo Canyon Rd.) and Palmer Ave.",33.96269,-117.07319,2013-01-20,"GBIF","UCR","UCR","UCR",NA,4853,"2422534654","Mitch Provance","17647",2013-01-20,NA,NA,NA,NA,0,NA,1,"specimen"
"833","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Rancho California area, Carancho Road near intersection with El Prado Road; c. 0.5 - 1.0 mile southeast of De Luz Road",33.49167,-117.24167,1988-06-10,"GBIF","UCR","UCR","UCR",NA,4853,"2422303542","B.G. Pitzer","1054",1988-06-10,NA,NA,NA,NA,0,NA,1,"specimen"
"834","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Rancho California Area, intersection of Sandia Creek Road and La Cruz Drive Rancho California Area, intersection of Sandia Creek Rd & La Cruz Dr (33 Deg 29'N, 117 Deg 13.5'W)",33.483333,-117.225,1988-06-10,"GBIF","UTEP","UTEP","UTEP","Plant specimens",4897,"1899734150","Collector(s): Barbara G. Pitzer","BGP 1052",1988-06-10,"Barbara G. Pitzer",1988-06-10,"Former nature_of_id: expert.",NA,0,NA,1,"specimen"
"835","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","Roadside, .2 east of Centinella gate, Santa Cruz Island.",34.016528,-119.771088,1977-06-04,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270291384","Marla Daily","366",1977-06-04,NA,NA,NA,NA,0,NA,1,"specimen"
"836","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","Santa Barbara County. In ravine west of ridge road; 6.3 miles east of Prisoner's Harbor on U.S. Navy road, Santa Cruz Island, California.",34.013408,-119.616269,1966-06-04,"GBIF","DAV","DAV","DAV",NA,4338,"2421690035","Roman Gankin; W.R. Hildreth","766",1966-06-04,NA,NA,NA,NA,0,NA,1,"specimen"
"837","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Gavilan Hills, Blue Oak Canyon, tributary of Dawson Canyon draining N flank of Estelle Mountain",33.76667,-117.425,1982-10-28,"GBIF","UCR","UCR","UCR",NA,4853,"2422316577","Steve Boyd","s.n.",1982-10-28,NA,NA,NA,NA,0,NA,1,"specimen"
"838","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","San Clemente Island; along ridge in large canyon e. of Thirst",32.8889,-118.4437,2003-05-28,"GBIF","SD","SD","SD",NA,4760,"2565937876","Martin A Piehl; Fred Eisler","62407",2003-05-28,NA,NA,NA,NA,0,NA,1,"specimen"
"839","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","In canyon west of Mt. Thirst, San Clemente Island.",32.8835,-118.457578,1967-01-29,"GBIF","SDSU","SDSU","SDSU",NA,4762,"2382627732","Beauchamp, R.M.","163",1967-01-29,NA,NA,NA,NA,0,NA,1,"specimen"
"840","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","2.5km north of San Timoteo Wash, 9km WNW of Beaumont, 30km SE of central San Bernardino.",33.9614,-117.0324,2016-04-26,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2610082987","Marc A. Baker","18562",2016-04-26,NA,NA,NA,NA,0,NA,1,"specimen"
"841","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","1/2 mi. E of U.S. Air Force Radar Station; Santa Rosa Island",33.9469999991256,-120.111,1960-04-15,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270272494","Cornelius H. Muller","10762",1960-04-15,NA,NA,NA,NA,0,NA,1,"specimen"
"842","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N",NA,NA,"Mexico",NA,NA,"No disponible",29.15944,-118.3181,2000-06-06,"GBIF","DBG","DBG","DBG","DES",4339,"2629888568","NO DISPONIBLE",NA,2000-06-06,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"843","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Los Angeles","Los Angeles County: San Clemente Island; in steep canyon on eastern coast of island.",32.882217,-118.437225,1990-03-14,"GBIF","DAV","DAV","DAV",NA,4338,"2421689298","James Bartolome","s.n.",1990-03-14,"det. J.M. Tucker",NA,NA,NA,0,NA,1,"specimen"
"844","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","Ridge 4 miles W. of Field Station, Santa Cruz Island.",34.016528,-119.771088,1980-03-27,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270290273","R. Arthur","2049",1980-03-27,NA,NA,NA,NA,0,NA,1,"specimen"
"845","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Murrieta, Warm Springs Creek, SE of Hogbacks",33.56667,-117.15,1996-09-22,"GBIF","UCR","UCR","UCR",NA,4853,"2422305217","G.R. Ballmer; K.T. Stockwell","s.n.",1996-09-22,"A. C. Sanders",1996-01-01,NA,NA,0,NA,1,"specimen"
"846","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California","Santa Barbara","Santa Cruz Island",34.0099999991248,-119.73,1932-04-21,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270272746","McMinn, H.","2818",1932-04-21,NA,NA,NA,NA,0,NA,1,"specimen"
"847","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N",NA,NA,"Mexico",NA,NA,"No disponible",29.070126,-114.155211,1950-04-03,"GBIF","ASU","ASU","ASU","ASU",4193,"2629881092","NO DISPONIBLE",NA,1950-04-03,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"848","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","1.9 km S de San Antonio, en las laderas",31.96675,-116.633417,1969-05-31,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069903","Reid Moran",NA,1969-05-31,"J. M. Tucker",NA,NA,NA,0,NA,1,"specimen"
"849","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"North slope of northeast ridge.",29.175,-118.28333,1957-12-13,"GBIF","SD","SD","SD",NA,4760,"2424806991","Reid Moran","6430",1957-12-13,NA,NA,NA,NA,0,NA,1,"specimen"
"850","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","Cañada el Durazno",28.113333,-113.152222,1963-12-23,"GBIF","ENCB-IPN","ENCB-IPN","ENCB-IPN","ENCB",2532,"1896068821","Moran",NA,1963-12-23,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"851","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Isla guadalupe.",29.13333,-118.33333,1980-11-21,"GBIF","FC-UABC","FC-UABC","FC-UABC","BCMEX",2289,"2629941470","Olguin",NA,1980-11-21,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"852","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","cañón a 6.4 Km al SO de San Vicente",31.300139,-116.316833,1966-05-30,"GBIF","BNHM-UCB","BNHM-UCB","BNHM-UCB","UC",3159,"1894069932","Reid Moran",NA,1966-05-30,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"853","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N","N",NA,"Mexico","Baja California",NA,"South of Tecate: About 5.5 km south on Hwy 3 to Ensenada near El Podrigal.",32.516667,-116.616667,1985-06-07,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430047924","Robert F. Thorne, Walter Wisura","61155",1985-06-07,NA,NA,NA,NA,0,NA,1,"specimen"
"854","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","al pie d la ladera norte del cañón SAn Simón , 5 Km arriba de la boca",30.495861,-115.749917,1977-10-11,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069825","Reid Moran",NA,1977-10-11,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"855","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","en un chaparral en la parte norte del cañón del arroyo Hondo",31.258389,-116.308333,1980-12-28,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069976","Reid Moran",NA,1980-12-28,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"856","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","en la vecindad del lado norte del camino que va de San Vicente a Eréndira y SAn Isidro, 4.8 Km al noreste de Eréndira.",31.2926048789578,-116.34351814226,1971-08-14,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069935","J. M. Tucker",NA,1971-08-14,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"857","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island. North end of island, S of Mt Augusta.",29.09229,-118.30623,2010-05-07,"GBIF","SD","SD","SD",NA,4760,"2424807686","Sula Vanderplank; Jon Rebman, Steve Junak, Tom Oberbauer, Bart O'Brien, Alan Harper, Julio Montoya, Jorge Tinoco.","100507-17",2010-05-07,NA,NA,NA,NA,0,NA,1,"specimen"
"858","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N",NA,NA,"Mexico",NA,NA,"No disponible",32.525,-116.625,1978-07-22,"GBIF","DBG","DBG","DBG","DES",4339,"2629947553","NO DISPONIBLE",NA,1978-07-22,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"859","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N","N",NA,"Mexico","Baja California",NA,"summit N of Santo Tomas",31.5997,-116.4265,NA,"GBIF","SBBG","SBBG","SBBG","SBBG",4756,"2629844095","C. H. Muller",NA,NA,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"860","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","Cañada el Durazno",30.758333,-115.491667,1962-07-23,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1893391627","R. Moran",NA,1962-07-23,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"861","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island; east rim below the cypress, Mt. Augusta.",29.1,-118.31667,1968-06-27,"GBIF","SD","SD","SD",NA,4760,"2424806952","D. Ramsay; R. Peterson","s.n.",1968-06-27,NA,NA,NA,NA,0,NA,1,"specimen"
"862","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island, north fork at head of barracks canyon.",29.1512,-118.29164,1981-08-20,"GBIF","RSABG","RSABG","RSABG","RSA",2529,"2629870539","Reid Moran",NA,1981-08-20,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"863","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","En el paso este, de El Terminal",28.749944,-113.600028,1962-01-16,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069828","Reid Moran",NA,1962-01-16,"J. M. Tucker",NA,NA,NA,0,NA,1,"specimen"
"864","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","Mountains 4 miles N of Ensenada",31.941667,-116.608333,1967-09-02,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1893391730","R. Moran",NA,1967-09-02,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"865","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"North slope of northeast ridge.",29.175,-118.28333,1957-12-13,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"2629852481","Reid Moran",NA,1957-12-13,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"866","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N","N",NA,"Mexico","Baja California",NA,"summit N of Santo Tomas",31.5997,-116.4265,NA,"GBIF","SBBG","SBBG","SBBG","SBBG",4756,"2629848061","C. H. Muller",NA,NA,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"867","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N",NA,NA,"Mexico",NA,NA,"No disponible",27.6,-113.02,1992-05-28,"GBIF","NMSU","NMSU","NMSU","NMC",4667,"2629943647","NO DISPONIBLE",NA,1992-05-28,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"868","Quercus arkansana","Fagaceae","Quercus arkansana Sarg.","Fagaceae","Quercus arkansana","Sarg.","flowering plants","Accepted","Fagaceae","Sarg.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Houston","ca. 3 mi. S of Cottonwood; where Boggy Creek crosses Sealy Wells Rd. T7N R27E S14 SW1/4",31.00444,-85.30361,1998-10-24,"GBIF","UA","UA","UA","UNA",1777,"56642715","John R. MacDonald",NA,1998-10-24,NA,NA,NA,NA,0,NA,1,"specimen"
"869","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","ladera norte del arroyo Santa Cruz, 4.8 Km al este de Valladares",30.88325,-115.649833,1969-07-04,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069861","Reid Moran",NA,1969-07-04,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"870","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island; north fork, Barrack Cañon, just below bench.",29.14583,-118.3125,1957-12-14,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"2629832980","Reid Moran",NA,1957-12-14,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"871","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island, north side.",29.159444,-118.318056,2000-06-06,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430273059","Jon P. Rebman, T. Oberbauer, J. L. Leon de la Luz","6799",2000-06-06,NA,NA,NA,NA,0,NA,1,"specimen"
"872","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","N slope 1.2 miles S of San Antonio",31.975,-116.641667,1969-05-31,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1893391740","R. Moran",NA,1969-05-31,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"873","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Head of north fork, Barrack Cañon , just below bench.",29.14583,-118.3125,1957-12-14,"GBIF","RSABG","RSABG","RSABG","RSA",2529,"2629865421","Reid Moran",NA,1957-12-14,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"874","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island, above the barracks.",29.14955,-118.29482,1931-11-14,"GBIF","POM","POM","POM","POM",4714,"2629841783","John  Thomas Howell",NA,1931-11-14,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
